         Wang 	         Zion 	     Jr.Staff 	   ND 	 40 	47000 	       Master 	  9
          Roth 	         Alex 	     Jr.Staff 	   CT 	 52 	53000 	     Bachelor 	  6
         Duffy 	         Alex 	       Intern 	   NY 	 72 	24000 	       Master 	  1
        Larsen 	       Aleksi 	     Jr.Staff 	   PA 	 35 	42000 	    Associate 	  8
      Svensson 	       Aleksi 	        Staff 	   PA 	 59 	86000 	         H.S. 	  4
      Jarvinen 	       Aleksi 	     Jr.Staff 	   CO 	 77 	59000 	     Bachelor 	 10
      Svensson 	       Aleksi 	       Intern 	   NV 	 40 	35000 	     Bachelor 	  2
        Kovacs 	   Aleksander 	     Jr.Staff 	   CO 	 74 	42000 	    Associate 	  1
        Castro 	    Alejandra 	        Staff 	   MN 	 52 	79000 	       Master 	  4
        Biddle 	    Alejandra 	     Sr.Staff 	   IA 	 73 	127000 	       Master 	 16
        Biddle 	    Alejandra 	       Intern 	   MI 	 38 	35000 	         H.S. 	  2
        Naquin 	         Alec 	        Staff 	   TX 	 58 	89000 	        Ph.D. 	  8
       Johnson 	        Aldan 	        Staff 	   FL 	 48 	104000 	       Master 	  6
          Rico 	      Alberto 	        Staff 	   UT 	 65 	107000 	     Bachelor 	  7
           Yee 	       Albert 	       Intern 	   MT 	 65 	35000 	     Bachelor 	  1
           Hay 	       Albert 	        Staff 	   MN 	 35 	70000 	       Master 	  4
         White 	        Alban 	     Jr.Staff 	   WI 	 32 	42000 	    Associate 	 10
       Edwards 	        Alban 	        Staff 	   TX 	 27 	96000 	       Master 	  5
      Crumbley 	         Alba 	        Staff 	   GA 	 57 	100000 	       Master 	  9
          Pool 	         Alan 	        Staff 	   NM 	 25 	97000 	       Master 	  3
       Tolbert 	         Alan 	        Staff 	   FL 	 31 	102000 	       Master 	  5
      Anderson 	        Alair 	        Staff 	   UT 	 20 	85000 	       Master 	 10
        Walker 	        Alair 	       Intern 	   IA 	 27 	12000 	         H.S. 	  2
       Hensley 	       Alaina 	        Staff 	   NJ 	 44 	65000 	       Master 	  9
         Hagen 	         Aino 	        Staff 	   AZ 	 40 	106000 	       Master 	  8
       Terrell 	        Aiden 	        Staff 	   FL 	 51 	102000 	       Master 	  7
        Austin 	        Aiden 	       Intern 	   KS 	 76 	27000 	     Bachelor 	  1
        Waller 	        Aiden 	     Jr.Staff 	   KS 	 40 	54000 	     Bachelor 	  3
       Pereira 	        Aiden 	     Jr.Staff 	   TX 	 64 	55000 	       Master 	  3
      Pederson 	        Aidan 	        Staff 	   CA 	 53 	90000 	       Master 	  6
         Corey 	        Aidan 	       Intern 	   AR 	 69 	27000 	     Bachelor 	  1
        Luther 	        Aidan 	        Staff 	   CT 	 50 	106000 	       Master 	  4
        Wismer 	        Ahmed 	        Staff 	   MN 	 39 	95000 	       Master 	  7
         Goffi 	       Agnese 	        Staff 	   PA 	 49 	80000 	       Master 	  8
        Jensen 	        Agnes 	        Staff 	   GA 	 59 	99000 	     Bachelor 	  5
     Pettersen 	        Agnes 	        Staff 	   IA 	 51 	80000 	       Master 	  7
      Virtanen 	        Agnes 	       Intern 	   SD 	 31 	17000 	         H.S. 	  1
        Ochion 	         Agam 	        Staff 	   AL 	 29 	62000 	        Ph.D. 	  3
         Cohen 	         Agam 	        Staff 	   MT 	 49 	97000 	       Master 	  7
      Mizrachi 	         Agam 	        Staff 	   TX 	 50 	95000 	       Master 	  7
     Champagne 	     Adrianna 	        Staff 	   DE 	 37 	88000 	       Master 	  6
      Rampolla 	      Adriana 	        Staff 	   MT 	 25 	108000 	       Master 	  6
         Elder 	      Adriana 	       Intern 	   VT 	 54 	32000 	     Bachelor 	  1
         Klein 	          Adi 	       Intern 	   NY 	 39 	12000 	         H.S. 	  1
         Gabai 	          Adi 	     Jr.Staff 	   CA 	 19 	37000 	         H.S. 	  5
         David 	          Adi 	        Staff 	   CA 	 20 	90000 	     Bachelor 	 10
     Benavides 	         Aden 	        Staff 	   CA 	 43 	95000 	       Master 	  7
        Burgos 	         Aden 	     Jr.Staff 	   NC 	 71 	42000 	    Associate 	  6
          Luik 	        Adela 	     Jr.Staff 	   WY 	 69 	57000 	     Bachelor 	  7
          Lano 	   Addolorata 	        Staff 	   MD 	 50 	79000 	       Master 	  2
       Edwards 	      Addison 	        Staff 	   CA 	 41 	84000 	     Bachelor 	  8
        Davies 	      Addison 	     Director 	   CO 	 53 	204000 	       Master 	 20
         Marek 	         Adam 	       Intern 	   KS 	 59 	33000 	         H.S. 	  1
      Cantrell 	         Adam 	       Intern 	   MD 	 36 	27000 	       Master 	  1
        Kucera 	         Adam 	     Jr.Staff 	   KY 	 31 	52000 	     Bachelor 	  6
        Takacs 	         Adam 	        Staff 	   MN 	 40 	80000 	     Bachelor 	  2
        Hovath 	         Adam 	        Staff 	   WY 	 53 	95000 	       Master 	  4
          Ware 	         Adam 	        Staff 	   CA 	 68 	84000 	       Master 	 10
      Anderson 	        Adair 	        Staff 	   DE 	 61 	80000 	       Master 	  7
        Oneill 	      Abraham 	     Jr.Staff 	   PA 	 74 	37000 	     Bachelor 	  9
     Silverman 	         Abel 	        Staff 	   AL 	 52 	99000 	       Master 	  6
         Matos 	        Aaron 	       Intern 	   NY 	 65 	28000 	       Master 	  1
         Speer 	        Aaden 	        Staff 	   ND 	 31 	105000 	     Bachelor 	 13
 

